intent,document
일상,오랜만에 양식이 좋은 것 같아요.
일상,프로젝트를 진행하느라고 친구를 못 만났었는데 이번 기회에 만나봐야겠어.
일상,정말 좋은 생각이다.
일상,아니 대놓고 미워하는 것도 아닌데 뭔 상관이야.
일상,내 기록보다 훨씬 갱신해서 기분이 좋아.
일상,노래 좋지. 뭐 추천해줄 수 있어?
일상,응. 이제 완전히 끝났어. 우리 이제 놀 수 있어.
일상,신나는 음악을 듣는 거 좋아.
일상,구경하는 사람들이 너무 많아서 왜 몰려 있는지 정확히 알 수가 없었어.
일상,내일 친구를 만나기로 했는데 뭘 먹어야 될 지 모르겠어.
일상,"내가 십킬로미터 마라톤 대회에 출전했는데, 예전에 내 기록을 헐씬 갱신했어."
일상,아니. 나 혼자하는 거야.
일상,나 축하해줘. 기쁜 일 있어!
일상,나도 그게 궁금해서 갔다가 잘 못봤어.
일상,나 축하해줘. 좋은 일이 있어.
일상,비싼 노트북을 오래 쓰려면 아무래도 보험 가입하는게 나을 거 같아.
일상,코로나가 빨리 끝나서 친구들도 많이 만났으면 좋겠다.
일상,애피타이저 푸짐하게 주는 집도 있어? 그런 집은 완전 좋지!
일상,남자친구가 항상 같이 달려줘서 더 는 것 같애.
일상,그런 건 아니고. 잘 몰라.
일상,응. 교수님이 조금만 확인해주시면 될 거 같은데 아마 끝났을 거야.
일상,우산도 잃어버리고 왔어.
일상,누군가 싸우는지 시끄럽고 소리지르고 난리가 아니야.
일상,난 둘 다 다 좋아. 내 친구도 그럴 걸?
일상,요즘 건강은 환절기라서 비염이 좀 심해진 거 빼고는 없어. 괜찮아.
일상,오늘 최종발표를 했으니까 이제 완전히 끝난거야! 너무 좋아!
일상,내가 잘못한 것 같아. 미안해. 네 덕에 반성한다.
일상,한 달 동안 밤 새도록 프로젝트를 했는데 너무 힘들었거든. 이제 너무 끝나서 홀가분해.
일상,어 그거 좋겠다.
일상,알았어. 친구들과 약속도 해볼게.
일상,신나는 음악 좋지. 니가 노래 좀 추천해 줘.
일상,알겠어. 이제 그 표현 쓰지 않을게.
일상,친구랑 분위기 있게 양식을 먹고 싶어.
일상,내 선물이 궁금해? 보고 싶어? 나중에 꼭 보여줄게.
일상,그래. 너무 좋다.
일상,친구를 강남역에서 만나기로 했는데 뭘 먹을지 모르겠어.
일상,나 마라톤 경기나갔는데 기록을 갱신했어.
일상,그냥 평소에 좋아해서 했는데 잘 나왔어.
일상,그래. 보여줄게. 얼마나 예쁘고 향이 좋은지.
일상,나중에 꼭 보여줄게. 놀러오면 다 보여줄거야.
일상,어디로 여행갈까?
일상,누군가 싸우는지 시끄럽고 사람들이 너무 많아.
일상,나 축하해줘! 기분 좋은 일 있었어.
일상,너무 좋지. 날라갈 것 같아. 뛸 때는 너무 힘들었지만.
일상,아니 오늘 비도 오고 날씨가 안 좋았어.
일상,그런 건 아니고. 그냥 혼자서 연습을 많이 했어.
일상,"거의 그렇지. 뭐, 이젠 그냥 결과만 기다리면 돼. 결과가 좋았으면 좋겠다."
일상,나도 그게 궁금해서 쫓아갔다왔지.
일상,이번에 내가 마라톤 대회에 나갔는데 좋은 성적을 거두어서 너무 기뻐.
일상,한동안 만나지 못한 친구들하고 약속을 잡아봐야겠어.
일상,삼성 걸로 샀는데 불량품이 왔겠어?
일상,요즘 그냥 평소랑 똑같이 하고 있지 뭐.	
일상,총 다섯 명 뽑는 거였어.
일상,어. 좋아. 좋은 집으로 검색 좀 해줘.
일상,맞아. 그래서 조금 무서웠어.
일상,응. 내가 평소에 되게 쓰고 싶던 거라서 너무 마음에 들어.
일상,나 축하해줘! 좋은 일이 생겼어.
일상,달리는 동안은 너무 지치고 힘들었는데 결승선을 통과하는 순간 너무 기분이 좋았어. 날아갈 것 같았어.
일상,그게 궁금해서 나도 쫓아가봤지.
일상,아직 다 안 끝났어.
일상,사람들이 엄청 많아서 궁금했어.
일상,드디어 프로젝트 끝냈어!
일상,맞아. 완전히 끝냈어. 한 달 간 얼마나 고생했는데.
일상,근데 물어봐도 안 가르켜주더라고.
일상,애피타이저부터 푸짐하게 주는 집이 정말 좋을 것 같아.
일상,잘 모른다니까?
일상,그냥 내가 운동하는 걸 좋아해서 매번 마라톤 대회 나가서 나의 기록을 세우려고 노력해.
일상,응. 좋지. 나 너무 행복해.
일상,애피타이저를 푸짐하게 주는 집도 괜찮아. 내 친구가 엄청 좋아할 거 같아.
일상,당연하지. 너무 좋다.
일상,친구랑 분위기 있게 먹기 위해서 양식이 좋을 것 같아.
일상,아직 안 했어 선물 오면 같이 하려고.
일상,"선수처럼 그렇게 급이 높진 않고, 일반인 중에서 꽤 잘 나왔대."
일상,다 힘들고 어렵지 뭐. 잘 해결되었음 좋겠다.
일상,그런 것 같아. 시끄럽고 소리가 너무 커. 무서워!
일상,너가 내일 날씨를 알려줬으니까 집에서 나갈 때 우산 챙겨가지고 갈게. 건강은 괜찮아.
일상,너의 말대로 노트북에 문제가 없는지 여기저기 꼼꼼히 살펴볼게.
일상,이건 너무너무 마음에 들어요.
일상,나는 괜찮아.
일상,선수처럼 그렇게 잘 뛰지는 않았어. 하지만 내 기록은 정말 잘 나왔다고.
일상,프로젝트를 하느라고 너무 바빠서 여행 다닐 시간이 없었는데 이번 기회에 여행을 다녀오는 것도 정말 좋을 것 같아. 여행 계획도 세워볼게!
일상,친구한테 자랑했더니 그거 비싼거라고 무지 부러워하더라.
일상,"아니, 추천해 줄 음악 있냐고."
일상,노트북을 오래 사용할 수 있도록 보험 가입을 생각해봐야겠어.
일상,오랜만에 양식 먹을까 해요.
일상,내가 하는 건 보냈고 답변이 오면 다시 봐야 해.
일상,알겠어. 고마워.
일상,달리는 동안에는 너무 지치고 힘들었는데 결승선을 통과한 순간 기분이 엄청 좋았어!
일상,노트북 보험도 있구나? 가끔 밖에 가지고 나갈 일이 생길 수도 있으니까 노트북 보험에 대해서 생각해볼게.
일상,뛰는 동안에는 힘들고 지쳤는데 결승선을 통과하는 순간 기분이 너무 좋았어.
일상,홀가분한 마음으로 신나는 음악을 든는 것도 좋을 것 같아.
일상,오늘 최종 발표를 마쳤으니까 이제 완전히 끝난 거야. 마음이 홀가분해.
일상,너 어떤 선물 좋아해?
일상,나 축하해 줘 기분 좋은 일이 생겼어.
일상,달리는 운동을 너무나 좋아해서 매번 열리고 있는 마라톤 대회에 출전하고 있어.
일상,내가 달리기 운동을 너무 좋아해서 매년 열리는 마라톤 대회에 출전했더니 기록이 점점 좋아지는 거 같아.
일상,여행 너무 좋지. 그럼 여행 계획 세워봐야겠다.
일상,내가 좋아하는 마라톤 10키로 기록 갱신했어.
일상,이번 마라톤 대회에서 내 기록이 몰라보게 향상되었어!
일상,그게 궁금해서 쫓아갔더니 바리케이드를 치고 있더라고.
일상,기분이 너무 좋아! 뛰는 동안에는 숨이 막힐 정도로 힘이 들었거든. 그렇지만 열심히 한 결과가 좋으니까.
일상,맞아. 알고보니까 별 거 아닌 일이더라고.
일상,모르겠어. 그냥 사람들 막 몰려 있던데?
일상,"30분 정도 구경을 했는데, 사람들이 많아서 앞에가 잘 보이지 않아서 그냥 집에 왔어."
일상,이게 향수주는 거였거든? 이거 어떻게 됐지? 완전 조금 뽑는 거였는데.
일상,"노트북을 백오십만 원짜리 구입했는데, 오늘 도착해서 기분이 너무 좋아."
일상,너가 추천한 곳이면 믿고 가서 먹을 수 있지. 알려줘서 고마워!
일상,그니깐. 요새 사람들이 다 너무 예민해.
일상,그랬음 좋겠다. 별 일 없으면.
일상,나 드디어 프로젝트 끝났어.	
일상,아니야. 선수 급은 아니고 그냥 내가 노력한 결과를 얻은 것 같애서 너무 좋다는 거야.
일상,당연히 좋지. 에피타이전데.
일상,좀 건강은 아주 좋아.
일상,할게 정말 많아. 영화랑 음악 다운 받을 거고 프로젝트도 해야 돼.
일상,나는 좀 자러 가야겠다.
일상,응. 좋아. 음악 추천해줄 수 있어?
일상,네가 내일 날씨를 알려 줬으니까 내일 우산 가지고 나오면 비 안 맞을 거야.
일상,그냥 그럭저럭 괜찮은 것 같아.
일상,향수 한 명 뽑아서 주는 이벤튼데 내가 됐대.
일상,고마워. 앞으로도 더 열심히 할게!
일상,내가 마라톤 대회 나갔잖아. 그런데 내 기록이 놀라게 향상되었어.
일상,그러면 진짜 좋겠네.
일상,뭐 싸움나지 않았을까? 나도 잘 모르겠어.
일상,"오, 좋지. 어딘데?"
일상,노트북이 오늘 도착했어.
일상,어 완전히 다 마무리 됐어!
일상,그건 알 수 없고 아무튼 구경 잠깐 했어.
일상,"아니, 선수들 말고 일반인들 사이에서만 잘한 거야."
일상,누군가 싸우는지 시끄럽고 난리가 났어! 사람도 많고.
일상,오랜만에 가족들이랑 여행을 가는 것도 의미가 있을 것 같아. 생각 한번 해볼게.
일상,그거 찾아봐야겠다.
일상,맞아 결승선을 통과하는 순간 힘든게 싹 사라지더라!
일상,나는 친구랑 분위기 있게 양식을 먹고 싶어.
일상,그래야겠다. 너도 한 장 살래?
일상,도로에서 차랑 차끼리 교통사고가 났어. 무서웠어.
일상,기분 나아지기 위해서 너한테 말 하는 거 아니잖아.
일상,너의 말대로 오랜만에 여행을 다녀오는 것도 좋을 것 같애. 생각 한번 해볼게.
일상,아니. 우산 없는데?
일상,한 명이었는데 내가 됐어.
일상,그런 보험이 있으면 지금 당장 가입해야지.
일상,"기분이 나아지진 않고, 항상 썼던 말이라 그래요."
일상,그래 꼭 보여줄게. 얼마나 예쁘고 고급진 향수인지.
일상,난 충분히 건강하거든?
일상,구경 온 사람들이 너무 많아서 무슨 일인지 볼 수가 없었어.
일상,나 프로젝트가 끝났어.
일상,사람들이 구경을 너무 많이 하고 있어서 앞이 잘 보이지 않아서 왜 몰려있는지 모르겠어.
일상,좋지. 노래 추천해줄 수 있어?
일상,평점이랑 리뷰가 좋다고 하니까 너무 기대가 돼. 친구랑 가서 잘 먹고 올게.
일상,알겠어. 한 10분 봤어.
일상,평점도 좋은데 리뷰도 좋으면 정말 금상첨화다.
일상,완전 마음에 들지. 공짠데!
일상,거의 선수라고 할 수 있지.
일상,선수는 아니고 내가 운동을 좋아해서 열심히 달렸어.
일상,구경도 못하고 쫓겨났어.
일상,"한 번 들어볼까, 그럼?"
일상,내가 이번에 마라톤 내 기록 단축시켰거든.
일상,그래. 내 선물이 보고 싶어? 내가 나중에 보여줄게.
일상,너가 내일 날씨를 알려줬으니까 내일 집에서 나올 때 우산 가지고 나올게. 건강은 괜찮아.
일상,어 너무너무 마음에 들어.
일상,후. 글쎄. 한 10분 20분 쯤?
일상,어. 내가 진짜 갖고 싶었던 거야.
일상,내가 받은 선물을 구경하고 싶어? 나중에 내가 꼭 보여 줄게.
일상,"어. 나도 뉴스 한 번 찾아봐야겠다, 야."
일상,오! 좋은데? 음악 좀 들어야겠다.
일상,너무 나 싫어하지 마.
일상,프로젝트를 진행하느라고 그동안 여행을 못 다녔는데 이번 기회에 다녀와야겠어!
일상,"안녕, 얘들아."
일상,그래. 친구도 만나고 친구랑 수다도 떨고 재미있게 놀다 와야 되겠어.
일상,갑자기 날씨가 좋았냐고? 음 날씨는 좋았던 거 같애.
일상,어 괜찮은 데가 있나?
일상,좋은 생각이야. 추천해줄 수 있어?
일상,그거 좋은 생각이야.
일상,내일 친구 만나는데 뭘 먹을지 모르겠어.
일상,끝났어. 진짜 신나!
일상,한 10분쯤 있었어 별일 없길래 그냥 왔지.
일상,강남역에서 만나기로 했는데 그곳은 음식점이 너무 많잖아.
일상,나도 그게 궁금해서 쫓아가봤어.
일상,뭐니 뭐니 해도 일식이 맛있지! 일식이 좋아.
일상,구경하는 사람들이 너무 많아서 왜 몰려있었는지는 모르겠어.
일상,나도 궁금해서 가봤더니 바리케이트 치고 있더라.
일상,알았어. 선물 오거든 바로 보여줄게.
일상,일식을 좋아하는데 왠지 양식이 먹고 싶네!
일상,일반인이 선수처럼 잘 달리진 않아. 그냥 내 기록이 좋아졌을 뿐이야.
일상,달리는 동안에는 엄청 힘들었는데 결승선을 통과하는 순간 날아갈 거 같았어.
일상,몰라. 그냥 사고 난 거 같던데?
일상,내일 친구와 만나기로 약속했는데 도대체 뭘 먹어야 될지 모르겠어.
일상,그런 건 아니고 그냥 혼자서 열심히 연습을 하는 거야.
일상,나도 아는데 그게 그거라고 이새끼야.
일상,"응, 있어. 같이하니까 동기부여가 너무 잘 되더라고."
일상,컵라면 먹고 있던데?
일상,정말 여행도 가고 싶어. 요즘은 휴가철이라 갈데도 많은 것 같아.
일상,노트북으로 포토샵을 깔아서 만화 작업을 할거야. 정말 잘 될 거 같아.
일상,응. 완전히 끝난 거야. 한 달 동안 주말에 쉬지도 못하고 일만 했거든.
일상,그동안 열심히 달리고 노력했어. 그랬더니 결과가 너무 좋아.
일상,그건 나도 모르겠다 지금.
일상,노트북을 150만 원 짜리를 샀는데 오늘 도착하니까 너무 기분이 좋아!
일상,어. 그거 정말 좋을 거 같은데?
일상,그래 알았어. 참고할게. 될 수 있으면 보험 하나쯤 넣어보지 뭐.
일상,날씨 좋았지.
일상,이번에 마라톤 대회에 출전했잖아. 내 성적이 엄청 좋게 나왔어.
일상,영화도 다운 받아 볼거고 프로젝트도 해야 돼.
일상,선수는 아니지만 내가 달리는 운동을 너무 좋아해서 마라톤 대회에 나가고 있어.
일상,좋아! 신나는 음악 드고 스트레스 풀 거야!
일상,어 뭐 한진 모르겠어.
일상,함께 달리는 크루가 있어서 힘들고 지칠 때 큰 힘이 되어줬어.
일상,어 맞아. 그 맛에 마라톤 하지.
일상,내가 보기엔 비슷한 거 같애.
일상,그거는 아닌 것 같아.
일상,공부하려고 하고 있어.
일상,서로 치고박고 싸우고 있더라고. 몸싸움을 너무 심하게 하고 있어.
일상,컴퓨터를 오래 쓸 수 있게 가입하는 보험을 들어봐야겠어.
일상,아이고 알았어 알았어. 앞으로 조심할게. 죄송합니다.
일상,어 그럼 어디로 여행가는 게 좋을까?
일상,기분도 너무 좋은데 신나는 음악을 듣는 게 좋겠어.
일상,비는 안 맞을 거야. 비 맞을 일 없어. 건강은 괜찮아.
일상,그렇게 심각한 분위기는 아닌데 그래도 못 들어가게 막더라고.
일상,나도 요즘 힘들어.
일상,백화점 향수 매장에서 하는 행사였어.
일상,그런 거 같애. 나도 자세히는 모르겠어.
일상,"노트북을 밖에 가지고 나갈 일이 생길 일이 생길수도 있으니까, 너의 말대로 보험 가입을 생각해봐야겠어."
일상,신나는 음악 들으면서 스트레스 풀고 싶다.
일상,뉴스에 나올 수도 있을 것 같아.
일상,응! 내가 완전 갖고 싶었던 거야!
일상,별로 그러고 싶지는 않아.
일상,야 이제 완전히 끝났지. 야 어 뭐 술 한 잔 할까? 어?
일상,선수는 아니고 내가 달리는 운동을 너무 좋아해서 매년 마라톤 대회에 출전하고 있어. 그래서 내 기록을 갱신하려고 노력하고 있어.
일상,응. 아파트를 살 수 있는 금액이야.
일상,나 프로젝트 끝냈어!
일상,나도 잘 몰라. 그냥 한 10분?
일상,어떤 사람이 술 취해가지고 길에 널부러져있더라고.
일상,나 드디어 영상처리 프로젝트 끝났어!
일상,아니야. 그 정도는 아니야.
일상,친구가 초밥을 좋아하니까 일식집이 괜찮을 것 같아.
일상,응 마음에 들어.	
일상,"한 달 동안 고생한 프로젝튼데, 이제 완전히 끝났어."
일상,할게 너무 많아! 영화도 다운 받아야 되고 프로젝트도 해야 돼.
일상,아니? 뭐 할지 잘 모르겠어. 그냥 기분이 너무 좋아.
일상,한 명 뽑는 거였는데 내가 너무 운이 좋았어. 이런 일이 없었는데.
일상,그렇게 심각한 분위기는 아니었어. 나도 잘 못 봤지만.
일상,그건 그래. 어쨌든 궁금해서 한 번 보고왔거든.
일상,더럽고 치사해서 구경도 안 하고 그냥 와버렸어.
일상,맘에 들어. 내가 평소에 갖고 싶었던 거였어.
일상,하는 음악 듣고 스트레스 좀 풀자.
일상,한 명 뽑는 건데 내가 된 거야.
일상,응. 퇴근하고 한강에서 맨날 만나.
일상,요즘에는 아픈 데가 하나도 없고 건강한 상태야.
일상,너무 맘에 들지. 그동안 내가 얼마나 사고 싶었던 향수였는데.
일상,알았어. 보여줄게. 얼마나 고급진 향수인지.
일상,어 몇 명 같이 뛰는 운동하는 사람들이 있어. 다 같이 성공했지.
일상,에이. 선수일 것 까지야.
일상,별로 다를 게 없어.
일상,"아, 비하의 의미가 담긴지는 몰랐어. 지적해줘서 고마워."
일상,이번에 새로 산 노트북이 오늘 도착했어.
일상,구경 한 10분 한 거 같애.
일상,고마워. 너도 같이 해볼래?
일상,고마워. 너도 항상 건강해.
일상,어 정말? 그 보험 들어야겠다!
일상,나 마라톤 하잖아. 그거 기록 갱신했다! 
일상,확인해볼게.
일상,아니 아직 안 했어 선물 오면 해야지.
일상,그런 건 아니고 혼자서 열심히 연습했어.
일상,프로젝트를 진행하느라고 친구들을 못 만났는데 오랜만에 만나볼 약속을 잡아야겠어. 
일상,기분도 좋으니까 신나는 음악을 듣는 게 좋을 거 같아.
일상,그건 나도 모르지.
일상,한 명이요.
일상,그런건 아닌 것 같아.
일상,너의 말대로 노트북에 문제가 없는지 여기저기 꼼꼼히 살펴 볼게.
일상,환절기라서 비염이 심한 것 빼고는 괜찮아.
일상,어. 그거 좋은 생각인데?
일상,당연하지! 한 달 동안 얼마나 고생했는데.
일상,선물이 마음에 들어서 신청 했지.
일상,당연히 자랑했지! 비싼 향수를 선물로 받았다고 자랑했더니 다들 부러워했어.
일상,난 괜찮아. 너 걱정이나 하셔요.
일상,나 욕 별로 안 했는데?
일상,"정말? 정말 그런 보험도 있었어? 당장에 가입해야지, 그럼."
일상,매일 괜찮은 편이야.
일상,정말 고마워. 친구랑 상의해서 정말 맛있게 먹고 올게.
일상,그러니깐 나도 너무 궁금해서 가봤었지.
일상,홀가분한 마음으로 신나는 음악을 듣는 것도 좋아.
일상,이번에 마라톤 대회 출전했잖아. 내 성적이 우수해.
일상,그런건 아닌 거 같애. 잘은 못봤지만.
일상,오늘 최종 발표를 했으니까 이제 완전히 끝난 거야. 마음이 너무 홀가분해.
일상,잘 모르겠어 나도.
일상,그래! 다음에 만나서 맛있는 밥이라도 먹자!
일상,일단은 당분간은 좀 쉬고 싶어서. 쉬려고.
일상,오늘 최종 발표를 마쳤으니까 이제 완전히 끝난 거야.
일상,아 몰라 이 새끼야.
일상,아 기분 너무 좋다!
일상,응. 날씬 좋던데? 근데 사람들이 몰려있어서 엄청 궁금했어.
일상,"응, 맞아. 물론 힘들긴 했는데 기록이 갱신이 돼서 상도 받게 돼서 기분이 좋아."
일상,생각만 해도 너무너무 행복해.
일상,네 여행도 가고 싶은데 요즘 코로나라서 쉽지가 않네요.
일상,그래. 친구들도 만나서 재밌게 놀고 올 거야.
일상,아니야. 선수처럼 잘 달리는게 아니라 그냥 내 기록보다 몇 분이나 더 빨리 도착한 거야.
일상,맞아. 한동안 고생했으니 여행도 해줘야지.
일상,완전히 끝나서 속이 너무 시원해.
일상,렇게 예민하게 반응해?
일상,아 노트북 보험도 있구나! 한번 생각해볼게.
일상,직장 생활 얘기?
일상,정말 고마워. 잘 먹고 올게.
일상,기록을 갱신했어.
일상,니가 뭔 상관인데.
일상,그럼 당연히 가입해야지. 생각하고 있었어.
일상,그게 내가 된 거야.
일상,난 양식이 너무 좋아.
일상,그래. 너무너무 좋았어.
일상,진짜 고마워.
일상,나 드디어 전공 프로젝트 끝났어.
일상,안그래도 오늘 바로 만나러 갈 생각이야.
일상,레인지 추천해줘.
일상,기록 갱신할려고 힘든줄도 모르고 열심히 뛰었어.
일상,200만원짜리 노트북을 샀는데 배송이 늦어져서 걱정하고 있었어.
일상,결승선을 통과하는 순간 힘들었던게 싹 잊혀지더라고.
일상,완전 좋지!
일상,아니? 나는 보통 혼자 해. 혼자가 편해서.
일상,알았어. 사용 설명서 보고 꼼꼼히 챙겨볼게.
일상,아이 기분이 더 나아지진 않지만 써도 되잖아.
일상,아니. 그건 아니지.
일상,알았어 다음부터 조심할께. 구경은 얼마 안했어. 한 1분 2분?
일상,그렇구나. 지금 처음 알았네.
일상,"나 이번에 10km 마라톤 나갔는데, 평소 내 기록보다 훨씬 잘 나왔어."
일상,궁금하면 너도 가서 보고 와. 여기 바로 앞이야.
일상,내일 친구랑 만나기로 했는데 뭘 먹어야 할지 모르겠어.
일상,어 완전 힘들어 죽을 뻔 했어. 
일상,친구 만나는 거 너무 좋지! 얼른 만나고 싶어.
일상,새로 산 노트북이 오늘 왔어.
일상,나도 그게 궁금해서 갔다가 구경도 못했어.
일상,앞으로 안그럴게. 내가 잘못했어.
일상,프로젝트를 진행하느라고 한 달 동안 친구들을 못 만났는데 이번 기회에 만나 봐야겠어.
일상,신나는 음악도 듣고 싶어 춤도 추고 싶다!
일상,날씨가 좋아서 나갔다 왔지. 우산이 있으니까 내일은 걱정 안해.
일상,에? 진짜? 내일 비온대? 어이 나 우산 없는데. 근데 사긴 해야겠다. 알았어.
일상,싸움이 일어났더라고.
일상,어 그렇구나. 몰랐어요. 알려줘서 감사합니다.
일상,거의 선수죠.
일상,"선수처럼 잘 뛰진 않고, 일반인 중에서 잘 나왔대."
일상,하는 순간 힘든 게 싹 사라지더라고.
일상,비싼 건 못샀어. 월급을 아껴서 산 거거든.
일상,글쎄? 큰 일일지도 몰라. 많이 몰려 있었으니까.
일상,나 드디어 구매한 노트북이 오늘 도착한대.
일상,우리나라에서 제일 사람이 많이다니는 강남역이야.
일상,근처에도 못 오게 하더라고. 더럽고 치사해서.
일상,일 하는 건 나쁘지 않아.
일상,그러니까 나도 궁금해서 갔었는데 바리케이트를 치고 사람들을 막고 있더라고.
일상,너 완전 꼰대같애.
일상,딱 3명 뽑는 거였는데 어떻게 됐냐 이거?
일상,응! 나 거의 선수야.
일상,당연히 끝났지. 한 달 간 정말 힘들었어.
일상,속이 다 시원해. 완전히 끝났어.
일상,한달 동안 얼마나 열심히 했는데 정말 완전히 끝났어!
일상,좋을 거 같아. 생각 한 번 해볼게.
일상,"선수는 아니고, 달리는 운동을 너무 좋아해서 매번 열리고 있는 마라톤 대회에 나가고 있어."
일상,딱 한 명. 그게 나야!
일상,드디어 구매한 노트북이 도착했어! 뜯어봐야지!
일상,그렇진 않지.
일상,마라톤 10km 뛰는데 원래 내 기록을 갱신했어.
일상,프로젝트에 최종 발표를 마쳤으니까 모든 게 완전히 끝난 거야. 마음이 너무나 홀가분해.
일상,아직 안했어. 상품이 오면 같이 자랑해야지.
일상,그것도 재미있겠다. 그렇게 할게.
일상,사람들이 너무 많이 있어서 무슨 일이 있었는지는 정확히 모르겠어.
일상,아니 그건 아니지 내가 겪어도 기분이 나쁠 만 해.	
일상,애피타이저 완전 좋지!
일상,드디어 완전히 끝났단다.
일상,응! 나중에 한번 보여줄게.
일상,10km 마라톤 대회에 나갔는데 거기서 내 기록을 갱신했어! 예전 기록보다 훨씬 갱신했어.
일상,건강해. 아픈데 없어.
일상,너는 말귀를 참 못알아먹는구나.
일상,알고있어. 안 쓸게.
일상,신나는 음악을 들으면서 춤이라도 추고 싶어.
일상,다시는 그 표현 안 쓰겠다고 약속할게.
일상,오자 마자 노트북 여기 저기를 살펴 봤는데 아무 문제가 없더라고. 성능도 정말 좋아.
일상,좋은 생각이야. 친구들과 여행 계획도 좀 세워 볼게.
일상,너 나 마라톤 자주 나가는 거 알지. 나 거기서 기록 갱신했다?
일상,그러게. 잘 해결됐으면 좋겠다.
일상,구경하는 사람들이 너무 많아서 왜 몰려있는지 잘 모르겠더라고.
일상,운동도 같이 하고 같이 대회에 나가는 사람들도 있어.
일상,그래볼까? 그러면 기분이 좀 나아질까?
일상,내가 마라톤을 이번에 기록을 또 신기록을 세웠어.
일상,양식이 좋아.
일상,그럼. 한 달 간 주말도 반납하고 얼마나 열심히 했는데. 완전히 끝났다니까!
일상,당연히 마음에 들지! 엄청 비싼 향수야.
일상,어. 정말 가지고 싶었던 건데 너무 기분이 좋아.
일상,뛰는 순간은 힘들었지만 결승선을 밟는 순간 그 피로가 싹 가시더라고.
일상,너무 마음에 들지. 내가 그 전부터 갖고 싶었던 향수야.
일상,이왕에 그런데 가서는 일식을 먹는게 낫지 않을까?
일상,응. 내가 원래 갖고 싶었던 거라 너무 마음에 들어.
일상,저도 엄청 궁금해요. 어서 뉴스를 보고 싶어요.
일상,내일 비가 온대? 비가 많이 온대?
일상,마라톤 대회에서 기존의 기록을 갱신했어.
일상,그럼. 너무 갖고싶었던 향수인데 마음에 들지.
일상,그래서 궁금해서 쫓아가 봤지. 그랬는데 구경도 못하고 쫓겨났지 뭐야!
일상,장마라서 조금 우울한 거 빼고는 괜찮아.
일상,함께 달리는 크루가 있어서 내가 지치고 힘들때 큰 도움을 받아.
일상,정말 고마워. 맛있게 먹고 올게.
일상,나 드디어 프로젝트 끝났어!   
일상,200만원짜리 노트북을 구입했는데 배송이 늦어져서 엄청 걱정했어. 오늘 도착해서 너무 기분이 좋아.
일상,나중에 소개시켜줄게.
일상,구경하는 사람이 너무 많아서 왜 몰려 있는지 알 수가 없었어.
일상,이번 기회에 너의 말대로 여행 좀 다녀와야겠어.
일상,"그런 건 아니고, 나 혼자서 틈틈이 연습 많이 했어. 그랬더니 결과가 좋은 거야."
일상,그래! 나 여행도 가고 싶다!
일상,어 완전 좋아! 난 애피타이저 좋아하거든!
일상,함께 달리는 크루가 있어서 내가 지치고 힘들 때 큰 힘이 되어줘. 
일상,"있으려나? 휴가는 잘 모르겠고 주말에 다녀올 순 있을 거 같은데. 한 번 찾아봐야겠다, 그것도."
일상,그래 친구들과 약속도 잡아볼게.
일상,그것도 좋아. 빨리 약속 잡아야겠어.
일상,마라톤 대회에서 기록을 갱신했어! 기분이 좋아.
일상,잘해줘. 나 너 덕분에 더 열심히 할 수 있을 거 같아.
일상,저렴한걸로 샀어.
일상,마라톤에서 기록을 경신했어.
일상,감사해요. 잘됐어요.
일상,그 정도까지는 아닌 것 같애. 금방 일이 끝났어.
일상,너가 추천한 곳이니까 믿고 가서 먹어볼게. 맛있을 거야.
일상,그런가 봐. 과학 수사대도 왔어.
일상,요즘은 아주 컨디션 좋아!
일상,구경하는 사람들이 너무 많아서 왜 몰려있는지 잘 모르겠어!
일상,"나는 잘 못봤는데, 구경하는 사람들 말로는 싸움이 나서 그런 거래."
일상,완전. 이번에 유난히 힘들었거든? 근데 결승선에서 기록 보고 진짜 엄청 놀랐어!
일상,나 내일 친구를 만나는데 뭘 먹어야될지 모르겠어.
일상,나 프로젝트 드디어 끝났어.
일상,프로젝트를 진행하느라고 한동안 친구들을 못 만났는데 친구들을 만날 계획을 잡아봐야겠어.
일상,너무 기분이 좋아. 완전히 끝났어.
일상,맞아. 결승선을 통과하는 순간 힘든 게 싹 사라지더라고.
일상,여행은 근데 코로나 때문에 갈 수는 없을 거 같아.
일상,친구도 만나야지. 너무 오랫동안 못 만났거든.
일상,이제 나이가 있어서 그런가 걱정이 되기는 해. 그래도 아직은 큰 무리는 없으니까.
일상,그러게. 다친 건 아니었으면 좋겠다.
일상,너가 미리 날씨에 대해서 이야기해줘서 우산을 집에서 챙겨오면 괜찮을 것 같아. 요새 건강은 괜찮아.
일상,"여행도 가고 싶은데, 지금은 갈 수가 없어."
일상,그런 건 아니고. 그냥 혼자서 열심히 노력했어.
일상,나도 그게 궁금해서 구경갔다 왔잖아.
일상,마라톤 대회에서 기존에 기록을 갱신했어.
일상,완전 좋지. 뭐 추천해줄 거 있어 노래?
일상,어. 기분 진짜 좋아. 근데 한번 뛰고 나면 너무 너무 시원해.
일상,"어, 차주 두 명이 싸우고 있긴 했어."
일상,그거 좋겠다. 걔네들은 나 그냥 연락이 안 돼서 나 잠수 탄 줄 알아 진짜!
일상,내일 출근할 때 집에서 우산 가지고 와야겠어. 건강은 괜찮지!
일상,아니. 나는 혼자 뛰는게 좋아.
